Column1;Column2;Column3;Column4;Column5;Column6;Column7
;;"CROSS PROCESS
LOCATION";;PROCESS LOCATION;;
JET;"ROW +
NOZZLE";pixels;mm;pixels;mm;"SIGNAL & BIT SHIFT
ORDER
1 shifted first / 64
shifted last"
J 001;R1,N001;000;0.0000;0;0.0000;DIN00-53
J 002;R5,N001;001;0.0423;40;1.6933;DIN00-55
J 003;R2,N001;002;0.0847;10;0.4233;DIN00-64
J 004;R4,N001;003;0.1270;30;1.2700;DIN00-63
J 005;R6,N001;004;0.1693;50;2.1167;DIN00-62
J 006;R3,N001;005;0.2117;20;0.8467;DIN00-54
J 007;R7,N001;006;0.2540;60;2.5400;DIN00-56
J 008;R11,N001;007;0.2963;100;4.2333;DIN00-58
J 009;R8,N001;008;0.3387;70;2.9633;DIN00-61
J 010;R10,N001;009;0.3810;90;3.8100;DIN00-60
J 011;R12,N001;010;0.4233;110;4.6567;DIN00-59
J 012;R9,N001;011;0.4657;80;3.3867;DIN00-57
J 013;R1,N002;012;0.5080;0;0.0000;DIN00-41
J 014;R5,N002;013;0.5503;40;1.6933;DIN00-43
J 015;R2,N002;014;0.5927;10;0.4233;DIN00-52
J 016;R4,N002;015;0.6350;30;1.2700;DIN00-51
J 017;R6,N002;016;0.6773;50;2.1167;DIN00-50
J 018;R3,N002;017;0.7197;20;0.8467;DIN00-42
J 019;R7,N002;018;0.7620;60;2.5400;DIN00-44
J 020;R11,N002;019;0.8043;100;4.2333;DIN00-46
J 021;R8,N002;020;0.8467;70;2.9633;DIN00-49
J 022;R10,N002;021;0.8890;90;3.8100;DIN00-48
J 023;R12,N002;022;0.9313;110;4.6567;DIN00-47
J 024;R9,N002;023;0.9737;80;3.3867;DIN00-45
J 025;R1,N003;024;1.0160;0;0.0000;DIN00-29
J 026;R5,N003;025;1.0583;40;1.6933;DIN00-31
J 027;R2,N003;026;1.1007;10;0.4233;DIN00-40
J 028;R4,N003;027;1.1430;30;1.2700;DIN00-39
J 029;R6,N003;028;1.1853;50;2.1167;DIN00-38
J 030;R3,N003;029;1.2277;20;0.8467;DIN00-30
J 031;R7,N003;030;1.2700;60;2.5400;DIN00-32
J 032;R11,N003;031;1.3123;100;4.2333;DIN00-34
J 033;R8,N003;032;1.3547;70;2.9633;DIN00-37
J 034;R10,N003;033;1.3970;90;3.8100;DIN00-36
J 035;R12,N003;034;1.4393;110;4.6567;DIN00-35
J 036;R9,N003;035;1.4817;80;3.3867;DIN00-33
J 037;R1,N004;36;1.524;0;0;DIN00-17
J 038;R5,N004;37;1.5663;40;1.6933;DIN00-19
J 039;R2,N004;38;1.6087;10;0.4233;DIN00-28
J 040;R4,N004;39;1.651;30;1.27;DIN00-27
